"Unnamed..0","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","Residence_ISO3","Birthplace_ISO3"
12331,1,1,2,2,2,2,0,"Somewhat difficult",5,5,6,6,6,"League of Legends","PC",11,"Competition",18,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,1,"Male",18,"Student","High School","Netherlands","Netherlands","Multiplayer",10,28,"NLD","NLD"
12332,1,1,2,3,2,2,2,"Very difficult",2,5,2,1,1,"League of Legends","PC",10,"Fun",30,0,0,2,4,1,3,0,0,4,1,1,0,0,3,1,0,0,1,"Male",19,"Student","None","Poland","Poland","Multiplayer",13,11,"POL","POL"
12333,1,0,1,1,0,2,0,"Somewhat difficult",6,6,6,6,6,"League of Legends","PC",21,"Competition",21,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,"Male",21,"Student","High School","Luxembourg","Denmark","Multiplayer",5,30,"DNK","LUX"
12334,2,3,3,3,2,3,3,"Somewhat difficult",3,1,1,1,1,"League of Legends","PC",60,"Competition",20,0,1,0,2,4,4,4,1,4,2,4,2,0,1,4,0,4,1,"Male",22,"Student","High School","USA","USA","Multiplayer",19,7,"USA","USA"
12335,3,2,3,3,1,0,1,"Somewhat difficult",1,1,2,2,1,"League of Legends","PC",1,"Fun",0,3,2,2,3,1,2,0,1,1,1,4,0,0,3,1,0,2,2,"Male",22,"Employed","High School","USA","USA","Singleplayer",13,7,"USA","USA"
12336,1,0,1,1,0,1,0,"Very difficult",3,2,6,4,5,"League of Legends","PC",35,"Fun",25,0,0,1,2,0,0,0,0,1,0,3,0,0,1,0,0,3,1,"Male",22,"Student","High School","Netherlands","Netherlands","Multiplayer",4,20,"NLD","NLD"
12337,1,0,1,0,0,0,1,"Not difficult at all",6,7,7,3,3,"League of Legends","PC",20,"Fun",5,0,0,0,2,1,0,2,0,0,1,3,2,0,1,1,0,0,3,"Male",18,"Student","High School","Netherlands","Netherlands","Multiplayer",3,26,"NLD","NLD"
12338,3,3,3,0,0,3,3,"Extremely difficult",6,7,7,7,6,"League of Legends","PC",35,"Competition",12,0,4,4,4,4,4,0,4,1,0,0,1,0,4,4,0,0,3,"Male",19,"Student","High School","USA","USA","Multiplayer",15,33,"USA","USA"
12339,1,1,2,1,1,1,1,"Not difficult at all",2,3,2,2,1,"League of Legends","PC",27,"Fun",6,0,0,1,1,0,1,2,2,2,1,1,0,0,0,1,1,1,3,"Male",18,"Student","High School","Poland","Poland","Multiplayer",8,10,"POL","POL"
12340,0,0,0,0,0,0,0,"Unspecified",5,6,6,5,2,"League of Legends","PC",28,"Fun",6,0,1,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,2,"Male",20,"Employed","High School","Germany","Germany","Multiplayer",0,24,"DEU","DEU"
12341,2,1,1,1,1,1,1,"Somewhat difficult",3,2,3,4,2,"League of Legends","PC",25,"Competition",15,1,3,2,3,3,3,3,3,4,2,3,3,1,1,1,1,1,1,"Male",18,"Student","None","USA","USA","Multiplayer",8,14,"USA","USA"
12342,0,0,0,0,0,0,0,"Unspecified",4,3,1,2,7,"League of Legends","PC",10,"Competition",2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,"Male",20,"Student","High School","Serbia","Serbia","Multiplayer",0,17,"SRB","SRB"
12343,0,2,2,0,0,0,1,"Somewhat difficult",2,4,4,5,2,"League of Legends","PC",40,"Fun",10,3,2,3,2,1,1,0,3,4,1,4,1,1,2,1,1,0,2,"Male",20,"Unemployed","None","Belgium","Belgium","Multiplayer",5,17,"BEL","BEL"
12344,1,0,0,1,0,0,0,"Somewhat difficult",5,4,4,5,3,"League of Legends","PC",9,"Fun",10,0,1,2,1,1,1,3,2,3,1,4,2,0,1,4,0,0,1,"Female",19,"Student","High School","USA","USA","Multiplayer",2,21,"USA","USA"
12345,1,1,2,1,0,2,2,"Somewhat difficult",6,7,7,3,2,"League of Legends","PC",15,"Fun",2,2,0,0,2,0,2,0,1,0,0,1,0,0,1,2,1,0,1,"Male",18,"Student","High School","Sweden","Syria","Multiplayer",9,25,"SYR","SWE"
12346,0,0,0,0,0,0,0,"Not difficult at all",4,4,5,3,2,"League of Legends","PC",56,"Competition",5,1,2,0,1,3,1,3,1,0,1,0,2,0,0,3,1,3,3,"Male",18,"Unemployed","High School","USA","USA","Multiplayer",0,18,"USA","USA"
12348,3,2,3,3,3,0,3,"Very difficult",2,3,1,2,1,"Starcraft 2","PC",20,"Competition",10,2,2,2,3,4,4,0,2,3,0,3,3,3,4,3,2,2,3,"Male",23,"Unemployed","Bachelors","UK","UK","Multiplayer",17,9,"GBR","GBR"
12349,3,0,3,0,0,3,3,"Somewhat difficult",1,1,1,1,1,"League of Legends","PC",49,"Competition",12,4,4,4,4,0,0,0,4,0,0,0,4,4,0,4,0,0,5,"Male",19,"Student","High School","Brazil","Brazil","Multiplayer",12,5,"BRA","BRA"
12350,2,2,3,2,0,1,0,"Very difficult",1,2,2,2,4,"Diablo 3","PC",50,"Competition",10,0,2,1,3,2,3,0,1,2,2,0,3,2,1,3,0,1,2,"Male",28,"Unemployed","Bachelors","Germany","Germany","Multiplayer",10,11,"DEU","DEU"
12351,0,2,2,2,0,0,0,"Somewhat difficult",1,1,1,5,1,"Other","PC",34,"Competition",40,0,2,0,4,4,4,0,4,4,0,4,4,0,4,4,2,2,1,"Male",22,"Student","High School","Germany","Germany","Multiplayer",6,9,"DEU","DEU"
12352,3,1,1,0,1,2,2,"Somewhat difficult",1,1,3,1,5,"League of Legends","PC",25,"Competition",40,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4,"Male",20,"Unemployed","High School","USA","USA","Multiplayer",10,11,"USA","USA"
12353,1,2,3,2,0,1,0,"Not difficult at all",3,2,3,4,1,"League of Legends","PC",21,"Competition",20,1,3,1,3,1,0,0,1,4,1,4,0,0,3,1,1,2,1,"Male",23,"Student","High School","Luxembourg","Luxembourg","Multiplayer",9,13,"LUX","LUX"
12354,1,0,0,2,0,1,0,"Somewhat difficult",2,6,5,6,2,"League of Legends","PC",15,"Fun",15,1,1,0,1,2,0,0,0,0,0,1,2,0,0,2,0,0,1,"Male",23,"Unemployed","Bachelors","Australia","Australia","Multiplayer",4,21,"AUS","AUS"
12355,0,0,0,0,0,1,0,"Not difficult at all",4,5,5,4,3,"League of Legends","PC",21,"Competition",5,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,2,"Male",20,"Student","High School","Lithuania","Lithuania","Multiplayer",1,21,"LTU","LTU"
12356,0,0,0,1,1,0,0,"Not difficult at all",4,5,5,3,2,"League of Legends","PC",5,"Competition",21,0,1,1,2,2,2,1,0,3,0,0,0,0,0,1,0,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",2,19,"USA","USA"
12357,0,0,0,0,0,0,0,"Unspecified",5,6,6,6,7,"League of Legends","PC",21,"Fun",6,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,"Male",19,"Student","High School","USA","USA","Multiplayer",0,30,"USA","USA"
12358,0,1,1,0,0,1,2,"Not difficult at all",1,6,5,2,7,"League of Legends","PC",30,"Competition",15,0,2,1,1,4,2,1,0,4,0,1,0,0,1,0,1,2,1,"Male",20,"Student","High School","USA","USA","Multiplayer",5,21,"USA","USA"
